,url,reviews,rating,price
8134,http://www.amazon.com/Dead-Reckoning-Sookie-Stackhouse-Novel-ebook/dp/B004LRPDBE?tag=NYTBS-20,"1,373 customer reviews",3.8 out of 5 stars,$7.99 
8135,http://www.amazon.com/Before-Go-Sleep-S-Watson/dp/0062060562?tag=NYTBS-20,"3,756 customer reviews",4.1 out of 5 stars,$11.99 
8136,http://www.amazon.com/State-Wonder-Novel-Ann-Patchett/dp/006204981X?tag=NYTBS-20,"1,832 customer reviews",4.0 out of 5 stars,$11.99 
8138,http://www.amazon.com/One-Summer-David-Baldacci/dp/0446583154?tag=NYTBS-20,770 customer reviews,4.3 out of 5 stars,$7.99 
8139,http://www.amazon.com/Happy-Birthday-Novel-Danielle-Steel-ebook/dp/B004J4WLDW?tag=NYTBS-20,483 customer reviews,4.4 out of 5 stars,$7.99 
8140,http://www.amazon.com/Prey-A-Novel-Linda-Howard-ebook/dp/B004J4X7H6?tag=NYTBS-20,253 customer reviews,3.9 out of 5 stars,$7.99 
8141,http://www.amazon.com/Trick-Light-Inspector-Gamache-Novels/dp/0312655452?tag=NYTBS-20,"1,199 customer reviews",4.7 out of 5 stars,$9.99 
8142,http://www.amazon.com/Dance-Dragons-Song-Ice-Fire/dp/0553582011?tag=NYTBS-20,"9,974 customer reviews",4.3 out of 5 stars,$9.99 
8148,http://www.amazon.com/The-Best-Me-Nicholas-Sparks/dp/0446547654?tag=NYTBS-20,"4,105 customer reviews",4.5 out of 5 stars,$7.99 
8149,http://www.amazon.com/Feast-Day-Fools-Hackberry-Holland-ebook/dp/B004IK98B0?tag=NYTBS-20,320 customer reviews,4.0 out of 5 stars,$9.49 
8150,http://www.amazon.com/The-Night-Circus-Erin-Morgenstern/dp/0307744434?tag=NYTBS-20,"6,593 customer reviews",4.4 out of 5 stars,$9.99 
8151,http://www.amazon.com/Red-Mist-A-Scarpetta-Novel-ebook/dp/B005ERIRWC?tag=NYTBS-20,988 customer reviews,3.9 out of 5 stars,$9.99 
8152,http://www.amazon.com/Halo-Primordium-Book-Forerunner-Saga/dp/0765323974?tag=NYTBS-20,244 customer reviews,3.9 out of 5 stars,$9.99 
8153,http://www.amazon.com/11-22-63-A-Novel/dp/1451627297?tag=NYTBS-20,"26,427 customer reviews",4.5 out of 5 stars,$10.99 
8156,http://www.amazon.com/Defending-Jacob-Novel-William-Landay/dp/0385344228?tag=NYTBS-20,"8,621 customer reviews",4.3 out of 5 stars,$13.99 
8157,http://www.amazon.com/Kill-Shot-American-Assassin-Thriller/dp/1416595228?tag=NYTBS-20,"5,574 customer reviews",4.6 out of 5 stars,$8.99 
8160,http://www.amazon.com/A-Crown-Imperiled-Chaoswar-Saga/dp/006146841X?tag=NYTBS-20,824 customer reviews,4.4 out of 5 stars,$4.99 
8161,http://www.amazon.com/Calico-Joe-Novel-John-Grisham/dp/0345541332?tag=NYTBS-20,"2,591 customer reviews",4.2 out of 5 stars,$7.99 
8163,http://www.amazon.com/The-Paris-Wife-A-Novel-ebook/dp/B004DEPELY?tag=NYTBS-20,"3,109 customer reviews",4.3 out of 5 stars,$11.99 
